artist_emb_0,artist_emb_1,artist_emb_2,artist_emb_3,artist_emb_4,artist_emb_5,artist_emb_6,artist_emb_7,artist_emb_8,artist_emb_9,artist_emb_10,artist_emb_11,artist_emb_12,artist_emb_13,artist_emb_14,artist_emb_15
-0.95209414,-0.9652924,-0.9642421,-0.5905552,-0.96394026,-0.9170429,0.8991322,0.9600285,0.31915855,-0.97418016,0.94139653,-0.941672,-0.9825079,0.057994034,0.97247297,0.017882414
-0.9612465,0.9504997,0.98583525,-0.9444681,-0.97223103,-0.9785012,0.9697804,-0.45424947,0.3096929,-0.97869986,0.73119164,-0.98924434,-0.97019255,0.08433346,-0.929134,-0.59128505
-0.95209414,-0.9652924,-0.9642421,-0.5905552,-0.96394026,-0.9170429,0.8991322,0.9600285,0.31915855,-0.97418016,0.94139653,-0.941672,-0.9825079,0.057994034,0.97247297,0.017882414
-0.9795984,0.9647297,0.9605558,-0.9781026,0.070854396,0.9813393,-0.97936004,-0.8510893,0.97774196,0.80103105,0.76177186,0.26365575,0.92207134,-0.9843234,-0.8632019,-0.947057
0.97352815,0.06288064,-0.9431298,0.789975,0.022601586,-0.9041448,-0.23149484,-0.24991736,-0.02806664,0.07539877,-0.020119635,0.493624,-0.97691727,0.977271,0.6630846,-0.941997
-0.9612465,0.9504997,0.98583525,-0.9444681,-0.97223103,-0.9785012,0.9697804,-0.45424947,0.3096929,-0.97869986,0.73119164,-0.98924434,-0.97019255,0.08433346,-0.929134,-0.59128505
-0.98508567,0.9565248,-0.9463779,-0.98234874,0.68420553,-0.9535515,0.9829193,0.96447307,0.8417406,0.7874722,0.9042879,0.26823416,0.9613758,-0.9546765,0.9622066,-0.32980996
-0.92149436,-0.9870128,0.9861629,0.9694708,-0.9744008,0.9822801,0.96717846,0.9801625,0.9850586,-0.87434,0.99033046,0.9327837,0.9892954,0.6450024,-0.9579571,0.62814814
-0.95626825,0.94899726,0.992995,-0.92273796,-0.9763542,0.9882926,0.97562224,-0.07194035,0.9775156,-0.9784209,0.97340626,-0.98681366,0.9645221,0.7065365,-0.6478689,-0.6452076
0.97352815,0.06288064,-0.9431298,0.789975,0.022601586,-0.9041448,-0.23149484,-0.24991736,-0.02806664,0.07539877,-0.020119635,0.493624,-0.97691727,0.977271,0.6630846,-0.941997
-0.9443474,-0.82593864,-0.23046455,0.9529616,0.61233157,-0.5716733,-0.857845,0.96886533,-0.21796802,0.64814985,-0.7038167,0.016227545,-0.9121271,-0.9388555,0.9689069,0.13762514
-0.9699707,-0.984473,0.9873571,-0.97488505,-0.98827034,-0.984047,0.9697479,-0.96750337,0.91684973,-0.9187656,0.98627746,-0.98426074,-0.98175704,0.07807292,-0.97091246,0.80707544
-0.92149436,-0.9870128,0.9861629,0.9694708,-0.9744008,0.9822801,0.96717846,0.9801625,0.9850586,-0.87434,0.99033046,0.9327837,0.9892954,0.6450024,-0.9579571,0.62814814
-0.9699707,-0.984473,0.9873571,-0.97488505,-0.98827034,-0.984047,0.9697479,-0.96750337,0.91684973,-0.9187656,0.98627746,-0.98426074,-0.98175704,0.07807292,-0.97091246,0.80707544
-0.9261588,-0.8658573,-0.43519688,0.87517107,0.4904062,-0.61511666,-0.07107395,0.9469039,-0.029943438,-0.22137232,-0.0035057545,-0.0026684927,-0.95977783,-0.56195784,0.9465163,0.03448513
-0.95209414,-0.9652924,-0.9642421,-0.5905552,-0.96394026,-0.9170429,0.8991322,0.9600285,0.31915855,-0.97418016,0.94139653,-0.941672,-0.9825079,0.057994034,0.97247297,0.017882414
-0.9699707,-0.984473,0.9873571,-0.97488505,-0.98827034,-0.984047,0.9697479,-0.96750337,0.91684973,-0.9187656,0.98627746,-0.98426074,-0.98175704,0.07807292,-0.97091246,0.80707544
-0.9612465,0.9504997,0.98583525,-0.9444681,-0.97223103,-0.9785012,0.9697804,-0.45424947,0.3096929,-0.97869986,0.73119164,-0.98924434,-0.97019255,0.08433346,-0.929134,-0.59128505
-0.98508567,0.9565248,-0.9463779,-0.98234874,0.68420553,-0.9535515,0.9829193,0.96447307,0.8417406,0.7874722,0.9042879,0.26823416,0.9613758,-0.9546765,0.9622066,-0.32980996
0.9673998,0.89574,-0.8321005,-0.9638746,0.42689255,-0.90094393,-0.9544777,-0.9260964,-0.03366079,0.75337815,-0.8035725,0.0581392,-0.86947244,-0.9773209,0.9715618,0.9726125
-0.92149436,-0.9870128,0.9861629,0.9694708,-0.9744008,0.9822801,0.96717846,0.9801625,0.9850586,-0.87434,0.99033046,0.9327837,0.9892954,0.6450024,-0.9579571,0.62814814
-0.92149436,-0.9870128,0.9861629,0.9694708,-0.9744008,0.9822801,0.96717846,0.9801625,0.9850586,-0.87434,0.99033046,0.9327837,0.9892954,0.6450024,-0.9579571,0.62814814
-0.95209414,-0.9652924,-0.9642421,-0.5905552,-0.96394026,-0.9170429,0.8991322,0.9600285,0.31915855,-0.97418016,0.94139653,-0.941672,-0.9825079,0.057994034,0.97247297,0.017882414
-0.9699707,-0.984473,0.9873571,-0.97488505,-0.98827034,-0.984047,0.9697479,-0.96750337,0.91684973,-0.9187656,0.98627746,-0.98426074,-0.98175704,0.07807292,-0.97091246,0.80707544
