Id,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
1,Marina Maximilian,Not Afraid,-0.43640315451872264,-1.2633904805027474,-0.5357773679694546,9.0,0.153283678083191,0,-0.519565158879844,0.562430379765396,-0.495157333439534,-0.5901489246145595,-1.0497400782130477,1.006641177615207,-0.04601316225284774,4,9
2,The Black Keys,Howlin' for You,1.3061752435058884,1.0989864960732778,0.35844469430951237,11.0,0.5231453999982322,1,0.13410073681482343,-0.7338408891769997,-0.2879606216073014,-0.6053185245604018,-0.4442308580485551,0.34619180249265313,-0.1956769055745165,4,6
3,Royal & the Serpent,phuck u,-0.02980152831298008,0.24708073214176987,0.6000117917024089,7.0,0.3321911035141523,1,-0.20147492203724646,-0.8479790687874507,1.9209767617415996,0.6605803349260615,0.6206301843096903,1.2613685252890894,-0.5518814533200846,4,10
4,Detroit Blues Band,Missing You,-1.888551819539232,-0.1698093225481167,-1.5020457575410402,6.0,-1.5726818409728556,1,-0.6131490986427819,1.9959264073900131,-0.41012984127654595,0.7643736327214149,0.0610561463645731,1.6852031432488626,1.02708198326637,3,2
5,Coast Contra,My Lady,0.20254225809030138,0.13228491998078643,0.48558527188472106,6.0,0.6913212407569054,0,2.075815314628524,-0.11077206845871426,-0.495157333439534,0.16999724894105506,0.5538153738087808,-1.1640935483489048,0.52077591048516,4,5
6,Beck,Fuckin With My Head (Mountain Dew Rock),-0.3783172079179023,0.6881383262339694,0.638153964974971,7.0,-0.19699278014647467,1,1.7000669964608792,-0.8156033061395491,-0.27661596651142667,0.1492088091420567,0.4285376041195753,-1.3765694699333397,0.1226480033409657,4,10
7,Shadow and Light,Blue,-1.9466377661400522,0.6941802110845475,-0.9807693894826849,1.0,-1.245122515511193,0,-0.6294884662301372,1.2626448138596047,0.7545904259919758,-0.710743835150719,0.173806139084858,0.3165345514875598,-2.4070748528007027,5,0
8,Within The Ruins,Devil In Me,0.02828441828784029,-0.616908801490894,1.4052354496787298,7.0,1.7214453099870277,1,1.9630109134214588,-0.8519280856318605,-0.5138102275658484,1.277030458718926,-1.8314733610736889,0.583517521152132,0.04820207082271281,4,8
9,Crazy Cavan,My Little Sister Gotta Motorbike,-0.3783172079179023,-0.5866993772380036,0.6508680227324919,9.0,-0.6617553877082756,1,-0.008549702751660757,0.3660119093720312,-0.495157333439534,1.0121119157877263,0.9672320137831583,2.0651951355789597,-0.5028499013551072,4,10
10,Day Sulan,Bailar,0.7834017240985051,1.866305872096693,-0.5400153872219616,7.0,0.38425856958464005,0,0.15988209983403928,0.753543335189273,-0.5141331803726858,0.40879407676928026,-0.014110515448950171,-0.6665559218981641,-0.04475741996803041,4,5
11,Dierks Bentley,What Was I Thinkin',1.3642611901067088,0.04769853207269404,0.6890101960050545,5.0,0.28383732219064395,0,-0.44003613138377207,-0.22793212498242063,-0.5145076734855174,-0.6365023047121801,1.86505602988913,1.4273949624226245,-2.407069631869737,4,4
12,Elderbrook,My House,0.3768000978927625,1.8904734114990052,-0.24335403954647508,6.0,-0.15078941051418515,0,-0.3863733816891611,-0.7640109564754011,2.487254901853678,-0.8980975165402392,0.4744727863389506,0.044100877014975295,-0.31112455177776815,4,6
13,Alter Bridge,Blackbird,0.7253157774976847,-1.5956941472845412,0.6084878302074228,6.0,0.8442095959322685,0,-0.4292871519656805,-0.8302861266095289,-0.4525100848803192,-0.5147100563232133,-1.4798604208126525,0.9062263300340354,3.1012456617848247,3,8
14,Thieves Like Us,Drugs in My Body - Designer Drugs Remix,-1.4819501933334893,1.2560755021883079,-0.1628316737488429,7.0,1.4773672772367983,1,-0.3342490409997017,-0.8517317640188716,-0.24179927257698308,0.7965471911640584,0.9338246085327034,0.10693633119928204,0.811267118849095,4,6
