Id,SalePrice
1461,121626.86019707886
1462,158942.00614969747
1463,187750.45613569397
1464,195727.119324604
1465,189111.4446537316
1466,175375.80323362447
1467,176359.71096195388
1468,168632.7054973072
1469,190682.88793674266
1470,124627.49822501076
1471,187308.14302127578
1472,94120.39023803812
1473,97219.16888424207
1474,148629.08189366478
1475,117988.83338113686
1476,370167.7995590782
1477,246212.15226981876
1478,287635.3175113892
1479,292140.482142301
1480,496482.5801800313
1481,332262.26716641703
1482,208117.20522805813
1483,180717.1466324455
1484,164279.27385950185
1485,183982.61499961317
1486,196348.62763400492
1487,331470.0030065378
1488,241485.26061708137
1489,200308.26512484864
1490,226138.74294309286
1491,192231.99160512557
1492,92335.0973602756
1493,181357.9253477698
1494,300555.89809604106
1495,297659.40256466635
1496,237934.20494073833
1497,182941.73527431578
1498,163834.66990961222
1499,159196.60592901308
1500,157244.9473045323
1501,177479.53134904997
1502,147039.47667833182
1503,291461.10345232964
1504,237362.1179303831
1505,225088.59270181207
1506,185727.25819439848
1507,248934.75365388434
1508,201104.50544579842
1509,158613.20223736722
1510,148012.19452730057
1511,146723.47666865235
1512,174167.42439984306
1513,148772.08424233456
1514,173540.83144570293
1515,191927.67271057886
1516,151016.05911145674
1517,163222.27537851888
1518,129923.15183363565
1519,220589.68627596405
1520,133834.37973716596
1521,136507.87809684448
1522,171200.00531926032
1523,115262.98828864413
1524,122923.03665353349
1525,125238.41557464094
1526,120180.76634634897
1527,104935.44046767858
1528,129580.46277472646
1529,150010.0310018111
1530,178678.54844435517
1531,109200.44614021642
1532,100945.43705929189
1533,147858.69563777425
1534,118932.21684894891
1535,154748.2507266826
1536,113517.8954813505
1537,68385.55096723969
1538,159587.029853996
1539,187084.27897581324
1540,106881.29625802122
1541,142947.83294242184
1542,140401.48154767885
1543,197998.60502929465
1544,81442.8588032595
1545,115095.84692911158
1546,127112.28455867853
1547,127875.50464953364
1548,132925.35633969627
1549,108852.72540494216
1550,135099.75039349857
1551,108709.72064226598
1552,143323.16317238333
1553,147796.87952343404
1554,118890.18425295553
1555,168453.0877526197
1556,83022.05556410647
1557,116331.40960903079
1558,93326.15780966647
1559,89659.94489254922
1560,130530.71589537572
1561,151052.1356025934
1562,130971.81828404106
1563,126105.8882465539
1564,159992.2581644027
1565,147983.8568871951
1566,239388.93775176676
1567,75258.01478931063
1568,229837.57483340974
1569,144336.04011798135
1570,136114.85109403357
1571,116162.05927467858
1572,142637.707929366
1573,242014.67925931397
1574,124290.62781928334
1575,226207.48920022754
1576,234655.3831818107
1577,188643.330652292
1578,141602.4936762732
1579,140765.14028345453
1580,189488.68220142316
1581,153598.21813124133
1582,129389.09056339513
1583,326035.894362252
1584,225557.3908140563
1585,139164.2236025927
1586,73826.91128549632
1587,102233.21113368351
